key_bits,recovered_zeros_x,recovered_zeros_y,wrong_zeros_x,wrong_zeros_y,queries,traces,calibration_traces,threshold,tpr,tnr,duration_seconds
17669,9033,8663,0,0,5726142,,,,,,1894.410117665
17669,7765,9910,0,0,16364830,,,,,,5160.20402671
17669,8013,10038,0,0,8856676,,,,,,2776.102880531
17669,8304,9468,0,0,13100036,,,,,,4126.610281969
17669,8748,9022,0,0,2837886,,,,,,936.443579274
17669,8304,9374,0,2,20989324,,,,,,6722.449311122
17669,9399,8627,0,0,7761684,,,,,,2404.213265137
17669,9056,8922,0,0,13975488,,,,,,4472.05574423
17669,8849,9130,0,0,7613496,,,,,,2449.653806205
17669,8378,9309,4,0,4509198,,,,,,1458.381120943
17669,7769,10071,0,0,2608476,,,,,,829.155821287
17669,9015,8662,0,0,16417178,,,,,,5166.764477124
17669,7580,10171,0,0,2450468,,,,,,785.910719573
17669,8945,8730,0,0,6777202,,,,,,2187.011293611
17669,9355,8480,0,2,6804116,,,,,,2188.288509385
17669,8771,8923,0,0,18311762,,,,,,5928.853670298
17669,8419,9610,0,0,28777022,,,,,,9229.121429768
17669,8265,9569,0,2,8944360,,,,,,2851.287260976
17669,8205,9848,0,0,4224606,,,,,,1331.116565282
17669,9061,8914,0,0,5973796,,,,,,1969.847458132
17669,9489,8242,0,0,4591640,,,,,,1401.873125916
17669,8742,8943,0,2,4141948,,,,,,1329.799961565
17669,9695,8034,2,0,9580308,,,,,,3055.059469477
17669,9195,8535,0,0,2696692,,,,,,849.882749527
17669,10260,7752,0,0,3668136,,,,,,1167.430528573
17669,8902,8798,0,2,5081506,,,,,,1649.77993488
17669,9075,8634,0,0,3432524,,,,,,1072.083809234
17669,9195,8689,4,0,3825844,,,,,,1258.817010379
17669,7714,10117,0,0,5362476,,,,,,1715.934053655
17669,9731,7948,0,0,11543312,,,,,,3626.204905149
17669,8322,9374,0,0,4356640,,,,,,1394.861677308
17669,9796,7884,0,0,6084658,,,,,,1932.76222173
17669,8880,8826,0,0,4264122,,,,,,1322.9057791
17669,8284,9404,0,0,5589194,,,,,,1766.052655021
17669,8556,9135,0,0,16236558,,,,,,5252.436630073
17669,9244,8436,0,0,35536022,,,,,,11248.663048261
17669,9038,8670,0,0,10944932,,,,,,3476.277889328
17669,9404,8281,0,0,8306668,,,,,,2623.572346922
17669,8597,9077,0,0,4417684,,,,,,1445.264427811
17669,9862,7813,0,0,13376474,,,,,,4220.88273769
17669,8649,9028,0,0,11599616,,,,,,3751.249137979
17669,8932,8827,0,0,2450492,,,,,,779.995994537
17669,8555,9421,0,0,3662424,,,,,,1161.776510194
17669,7734,9943,0,0,25643468,,,,,,8225.80305417
17669,9303,8482,0,2,5827184,,,,,,1925.357160778
17669,9300,8392,0,0,6909580,,,,,,2286.726955716
17669,9172,8635,0,0,2987418,,,,,,956.22278905
17669,8905,9040,4,0,19203830,,,,,,6183.551178524
17669,9935,7749,0,0,2903814,,,,,,888.890451097
17669,8899,9137,0,0,4959528,,,,,,1568.25237722
17669,8700,9012,0,0,6260824,,,,,,1981.002577128
17669,7442,10301,2,0,11315298,,,,,,3587.602732291
17669,8314,9438,0,0,2797940,,,,,,900.045198749
17669,9316,8359,0,0,18091418,,,,,,5711.369009202
17669,8518,9160,1,0,30188330,,,,,,9833.773743626
17669,8356,9374,0,0,7089252,,,,,,2279.389032608
17669,9074,8616,0,0,8726162,,,,,,2796.507920863
17669,9536,8144,2,0,4642032,,,,,,1492.797766756
17669,9029,8983,0,0,3521468,,,,,,1111.94858205
17669,8545,9419,0,0,6135058,,,,,,1965.381335504
17669,9269,8453,0,0,3061194,,,,,,1019.715372683
17669,8331,9372,2,0,3769468,,,,,,1178.836545835
17669,8476,9198,2,0,6846642,,,,,,2162.315459041
17669,8714,9005,0,0,17641808,,,,,,5577.597882305
17669,8077,9746,0,0,7259154,,,,,,2434.618356971
17669,9226,8568,0,0,4249884,,,,,,1337.509127785
17669,9231,8456,0,0,2648266,,,,,,880.963692981
17669,8916,8782,0,2,8383920,,,,,,2662.48638696
17669,8008,9689,0,0,6776854,,,,,,2220.777430358
17669,8259,9442,0,0,6838736,,,,,,2261.126151132
17669,9206,8531,0,0,4242384,,,,,,1401.630993512
17669,9871,8115,0,0,47617086,,,,,,15407.540899478
17669,8770,9082,0,0,3925884,,,,,,1262.292414004
17669,8524,9289,0,0,12016822,,,,,,3889.115414479
17669,8965,8727,0,0,6375814,,,,,,2092.475740065
17669,9483,8197,0,2,11979476,,,,,,3828.371234774
17669,8453,9257,0,0,3700120,,,,,,1136.635654986
17669,8868,8819,0,0,3644604,,,,,,1163.324651716
17669,8345,9346,0,0,7612518,,,,,,2414.1173294
17669,9322,8649,0,0,7369490,,,,,,2291.560472366
17669,8939,8736,0,0,5179844,,,,,,1631.768548195
17669,8571,9117,0,0,10316308,,,,,,3324.908416798
17669,8179,9571,0,0,3663518,,,,,,1171.472883688
17669,9533,8291,0,0,3663442,,,,,,1164.189940739
17669,9622,8265,0,0,9524752,,,,,,3068.310810279
17669,8520,9206,0,0,3078378,,,,,,994.222566909
17669,10478,7206,0,0,3636366,,,,,,1142.585386469
17669,8954,8731,0,0,6317834,,,,,,2098.561688996
17669,9640,8260,0,0,5841480,,,,,,1810.41834306
17669,9385,8302,0,0,3931514,,,,,,1219.951575397
17669,8348,9417,0,2,7072904,,,,,,2339.263676094
17669,8702,9010,0,0,7046358,,,,,,2302.714398322
17669,8594,9386,0,0,7160346,,,,,,2361.246411832
17669,8540,9168,0,0,3633848,,,,,,1147.731319533
17669,7939,9740,0,3,4607722,,,,,,1529.009427715
17669,8653,9121,0,0,2408266,,,,,,812.987453992
17669,9617,8073,0,0,7374500,,,,,,2316.55079183
17669,8729,9141,0,0,7663756,,,,,,2475.431906065
17669,8525,9335,0,0,8111270,,,,,,2652.189859572
17669,8723,9080,0,0,17919608,,,,,,5842.414937627
17669,9055,8681,2,0,4086976,,,,,,1337.023009612
17669,8260,9420,0,0,12260388,,,,,,3936.431696404
17669,9401,8277,2,0,8454088,,,,,,2682.21765013
17669,9049,8992,0,0,5628806,,,,,,1810.181559876
17669,8103,9587,0,2,4964298,,,,,,1575.077814459
17669,8261,9552,0,0,3278294,,,,,,1084.995121489
17669,9162,8512,0,0,3360570,,,,,,1098.392361926
17669,8464,9216,0,0,3757582,,,,,,1160.001967894
17669,9339,8448,0,0,2828608,,,,,,865.084031168
17669,7859,10141,0,2,4249850,,,,,,1392.041521525
17669,9010,8703,0,0,13060550,,,,,,4278.433846381
17669,8740,8994,0,0,3784382,,,,,,1257.891343654
17669,8736,9277,0,2,9886002,,,,,,3091.842282856
17669,9752,7982,0,0,11869754,,,,,,3773.828041046
17669,8290,9399,0,0,5840088,,,,,,1884.162893696
17669,10089,7667,0,0,2807432,,,,,,894.516825221
17669,9747,7936,0,0,8884050,,,,,,2902.157627594
17669,7674,10000,0,0,47838450,,,,,,15256.557467473
17669,9255,8426,0,0,5797572,,,,,,1842.182594346
17669,8301,9607,0,0,9071994,,,,,,2901.668501973
17669,9144,8636,0,0,5324212,,,,,,1795.037751208
17669,8735,8957,0,0,2829532,,,,,,863.104591336
17669,7653,10133,0,0,5870528,,,,,,1868.914104726
17669,9181,8630,0,0,3194438,,,,,,944.759602934
17669,8256,9472,0,0,3184388,,,,,,1060.642187754
17669,8809,8880,2,0,30048724,,,,,,9821.527576836
17669,8774,8942,0,0,2799346,,,,,,849.873244903
17669,8065,9611,0,0,11203164,,,,,,3625.415723461
17669,8952,8737,0,0,8013980,,,,,,2533.857678612
17669,8082,9728,2,0,3109236,,,,,,966.737777211
17669,9604,8286,0,0,6473934,,,,,,2023.520531312
